UNIQUEID;RECIPEID;PRODUCTID;STATIONID;STARTTIME;ENDTIME
9315bc2b-c107-4b80-8d08-6a0d18f060a8;PWD;bf761ffe-0dd7-4ebb-af14-c0c81d5a4276;ProflexVWDeviceAdapter;2022-05-24T16:06:50.5150345Z;2022-05-24T16:07:30.560325Z
0237c1f2-d2c0-4611-933f-9a8125c19831;PWD;e9ccd654-54a1-4a9e-a65a-7738e202097c;ProflexVWDeviceAdapter;2022-05-24T16:07:31.6233858Z;2022-05-24T16:08:11.576671Z
82834141-7654-4f7c-aa78-56837f4e92c4;PWD;ddf1d271-8712-4c09-9f41-c0bd56fef356;ProflexVWDeviceAdapter;2022-05-24T16:08:12.7397375Z;2022-05-24T16:08:52.5740159Z
273fbf4d-9fd3-429a-b039-abb1035d1aef;PWD;bf186bb2-869c-4666-9b6f-ca607adde2d1;ProflexVWDeviceAdapter;2022-05-24T16:08:53.6810792Z;2022-05-24T16:09:33.6373646Z
f2622e09-f681-4733-8fd0-f76d6090ae2b;PWD;d180b118-9e92-4d03-9537-fc2570641014;ProflexVWDeviceAdapter;2022-05-24T16:13:54.1903686Z;2022-05-24T16:14:36.650428Z
4195a637-9743-424e-9085-f7ae5ef3c51a;PWD;de3bba2c-ae29-4f84-b5e6-8030140e6ea6;ProflexVWDeviceAdapter;2022-05-24T16:14:37.6304294Z;2022-05-24T16:15:21.5404909Z
e6a0b93e-7029-4241-9dd4-20f45a7bbc2e;PWD;312ec6b6-c7ab-46dd-9a09-1cf7a739a338;ProflexVWDeviceAdapter;2022-05-24T16:15:22.2804919Z;2022-05-24T16:16:06.7405542Z
8451abdb-3304-4f22-af39-9dd9f73cb46b;PWD;f6b4b485-7455-4f8e-a4d2-91109300a568;ProflexVWDeviceAdapter;2022-05-24T16:16:08.1605561Z;2022-05-24T16:16:50.5606155Z
ffa39a49-2771-4950-bc4b-0db073c80a13;PWD;5668f767-b47d-437b-817c-589499bb8ed9;ProflexVWDeviceAdapter;2022-05-24T16:16:51.1506163Z;2022-05-24T16:17:35.5506785Z
a55f8dce-d696-4103-8a04-7b98cd46badc;PWCD;c72b799a-126d-48e1-8dcd-3a1fcea422c6;ProflexVWDeviceAdapter;2022-05-24T16:09:34.5164149Z;2022-05-24T16:10:24.5892789Z
d0e105b7-bebe-468c-8562-294ed8a0a3d8;PWCD;800a8038-496c-4f7a-ae8e-6e1d9ccf0ac6;ProflexVWDeviceAdapter;2022-05-24T16:10:25.6793412Z;2022-05-24T16:11:16.601782Z
808a59c0-ac96-40a0-ba6c-8f1f4940a74f;PWCD;9cd2933b-d9cd-4004-bac4-0ce77fb0a496;ProflexVWDeviceAdapter;2022-05-24T16:11:17.6517835Z;2022-05-24T16:12:08.5918548Z
504c890e-9423-4492-ba43-ba152cf4ff84;PWCD;e6d8dc36-2cb2-4bc3-ae02-aa8cc62e0431;ProflexVWDeviceAdapter;2022-05-24T16:12:10.0018568Z;2022-05-24T16:13:00.5919276Z
d2cb8cd9-11f0-47cd-a601-2c8317de3516;PWCD;25afd0b9-6e4b-4de4-8d7f-1472611ff43c;ProflexVWDeviceAdapter;2022-05-24T16:13:02.0119296Z;2022-05-24T16:13:53.8103681Z
24cc12c1-059b-4209-ac03-2927d0769865;PWCD;368b2831-7173-4b30-b9d3-5158783adba2;ProflexVWDeviceAdapter;2022-05-24T16:17:36.4506797Z;2022-05-24T16:18:27.7307515Z
bd700e3a-7f24-4c6c-9691-c5049edf22e2;PWCD;335a47da-1ab6-416f-a2ff-43e50d2f6dd1;ProflexVWDeviceAdapter;2022-05-24T16:18:28.8607531Z;2022-05-24T16:19:18.6718229Z
df4bd71e-22f6-4153-8144-3d0abe2b78f6;PWCD;10a41cd1-6511-43a6-8171-4b6d8ec0146e;ProflexVWDeviceAdapter;2022-05-24T16:19:19.8218245Z;2022-05-24T16:20:10.6918957Z
3b8316db-9d7e-48c7-b9f2-1f0eb27d13ea;PWCD;04206d9b-fde3-4806-8be4-ef1dac51de2e;ProflexVWDeviceAdapter;2022-05-24T16:20:11.8118973Z;2022-05-24T16:21:02.7019686Z
9cb311db-445c-41b8-8fac-0584d9f8cd53;PWCD;8b182dc5-6a1f-4404-829f-530493db0ac1;ProflexVWDeviceAdapter;2022-05-24T16:21:03.7919701Z;2022-05-24T16:21:54.7240415Z
9eea44f3-42b5-4f5a-99d7-2921bc440c4c;PWD;0085a82d-e1e0-4da0-aff2-1fdae92e7401;ProflexVWDeviceAdapter;2022-06-03T16:18:10.091+01:00;2022-06-03T16:18:47.955+01:00
