UNIQUEID;ID;RECIPEID;VALUE;UNIT
37f414bd-fb78-4ad0-ae54-44767413a658;Velocity;57d0f05c-ea7c-4707-9122-18cd81e48a34;60;%
373fe769-078e-4fa9-bc33-9493cd4e6f19;Consumption_Pick;57d0f05c-ea7c-4707-9122-18cd81e48a34;4;Wh
0ceb144e-7cb3-469e-a8eb-2193fb5ae2ee;Velocity_Pick;57d0f05c-ea7c-4707-9122-18cd81e48a34;60;%
4ac17a15-a7a9-4b5c-871a-8a9a6622c4b6;Velocity_Drop;57d0f05c-ea7c-4707-9122-18cd81e48a34;60;%
1dfdd1d6-e9b5-479a-ac64-65c8825ab8c0;Consumption_Weld;57d0f05c-ea7c-4707-9122-18cd81e48a34;5;Wh
3d45a176-3aae-45a3-ba2c-8f23717efd26;Velocity_Weld;57d0f05c-ea7c-4707-9122-18cd81e48a34;60;%
428a3f70-2aeb-4716-a387-a4b2aa9bff2f;Duration;57d0f05c-ea7c-4707-9122-18cd81e48a34;40.0772922;s
328c8499-976b-4dd5-83df-d1c94f392362;RobotConsumption_Weld;57d0f05c-ea7c-4707-9122-18cd81e48a34;4.600000000010596;Wh
2b5763cb-af79-4d2d-a470-bd6f4b866801;Duration_Pick;57d0f05c-ea7c-4707-9122-18cd81e48a34;12.6377228;s
925dfb34-902f-49f4-acd7-3d2515fce4a4;RobotConsumption_Drop;57d0f05c-ea7c-4707-9122-18cd81e48a34;3.4999999999740794;Wh
648420a8-68b8-4f90-8db6-90ccb0bf0ee9;Consumption;57d0f05c-ea7c-4707-9122-18cd81e48a34;12;Wh
9b987782-9590-49b2-b144-174cd7a4376c;Duration_Drop;57d0f05c-ea7c-4707-9122-18cd81e48a34;9.9055666;s
117b582d-48be-49e5-81a3-bbcf345ea52b;Consumption_Drop;57d0f05c-ea7c-4707-9122-18cd81e48a34;3;Wh
661e291b-cedf-4697-823e-1e39ee06f1bb;RobotConsumption_Pick;57d0f05c-ea7c-4707-9122-18cd81e48a34;1.6999999999995907;Wh
838c16a6-361e-4da3-a346-765cc0a9ecb1;RobotConsumption;7312a78c-830c-4c78-8977-37e213fc3d61;8.700000000004593;Wh
